input_addr;input_cep;output_addr_1;output_addr_2;output_addr_3;output_addr_cep_1;output_addr_cep_2;output_addr_cep_3;lat1;lon1;lat2;lon2;lat3;lon3
RUA ABEL PEREIRA DA SILVA JARDIM ITAGUACU II CAMPINAS SP 13053535 BRASIL;13053535;13053 CAMPINAS SAO PAULO;RUA EDSON PEREIRA DA SILVA PARQUE DO M DOM PEDRO II CAMPINAS SAO PAULO 13056630 BRAZIL;RUA MARIO JUNQUEIRA DA SILVA JARDIM EULINA CAMPINAS SP 13063000 BRASIL;NA;13056630;13063000;-23,023058;-47,13923934;-22,96346585;-47,13732085;-22,88675;-47,11324
RUA DOUTOR ABELARDO CERQUEIRA CESAR JARDIM BONFIM CAMPINAS SP 13032535 BRASIL;13032535;RUA DOUTOR ABELARDO CERQUEIRA CESAR CAMPINAS SAO PAULO 13032535;RUA DOUTOR ABELARDO CERQUEIRA CESAR BOTAFOGO CAMPINAS SAO PAULO 13032535 BRAZIL;RUA DOUTOR ABELARDO CERQUEIRA CESAR JARDIM BONFIM CAMPINAS SP 13032535 BRASIL;13032535;13032535;13032535;-22,90638166;-47,08304207;-22,90635695;-47,08299175;-22,90639;-47,08304
VIELA ABELARDO JOSE DOS SANTOS JARDIM SANTO ANTONIO CAMPINAS SP 13054806 BRASIL;13054806;13054 CAMPINAS SAO PAULO;RUA JOSE DOS SANTOS AVENIDA ANTONIO CARVALHO DE MIRANDA NUCLEO RESIDENCIAL JARDIM CAMPOS ELISIOS CAMPINAS SAO PAULO 13033090 BRAZIL;RUA ANTONIO NUNES DOS SANTOS JARDIM PACAEMBU CAMPINAS SP 13033210 BRASIL;NA;13033090;13033210;-23,02533558;-47,079515;-22,91139655;-47,09758805;-22,90252;-47,10632
RUA ABELARDO PIRES DE AVILA JARDIM MARISA CAMPINAS SP 13053200 BRASIL;13053200;RUA ABELARDO PIRES DE AVILA CAMPINAS SAO PAULO 13053200;RUA ABELARDO PIRES DE AVILA JARDIM MARISA CAMPINAS SAO PAULO 13053234 BRAZIL;RUA ABELARDO PIRES DE AVILA JARDIM MARISA CAMPINAS SP 13053200 BRASIL;13053200;13053234;13053200;-23,03531739;-47,10822964;-23,03386797;-47,1084929;-23,0354;-47,10813
AVENIDA DOUTOR ABELARDO POMPEU DO AMARAL ATE VILA INDUSTRIAL CAMPINAS SP 13035590 BRASIL;13035590;AVENIDA DOUTOR ABELARDO POMPEO DO AMARAL CAMPINAS SAO PAULO 13035590;AVENIDA DOUTOR ABELARDO POMPEU DO AMARAL CAMPINAS SAO PAULO 13035600 BRAZIL;AVENIDA DOUTOR ABELARDO POMPEO DO AMARAL VILA INDUSTRIAL CAMPINAS SP 13035590 BRASIL;13035590;13035600;13035590;-22,91236434;-47,081904;-22,9123177;-47,08194845;-22,91227;-47,08189
AVENIDA DOUTOR ABELARDO POMPEU DO AMARAL DE AO FIM VILA INDUSTRIAL CAMPINAS SP 13035600 BRASIL;13035600;AVENIDA DOUTOR ABELARDO POMPEO DO AMARAL CAMPINAS SAO PAULO 13035600;AVENIDA DOUTOR ABELARDO POMPEU DO AMARAL CAMPINAS SAO PAULO 13035600 BRAZIL;AVENIDA DOUTOR ABELARDO POMPEO DO AMARAL VILA INDUSTRIAL CAMPINAS SP 13035600 BRASIL;13035600;13035600;13035600;-22,91268945;-47,08064282;-22,9123944;-47,081456;-22,91269;-47,08064
RUA DAS ABELIAS ALPHAVILLE DOM PEDRO CAMPINAS SP 13097173 BRASIL;13097173;RUA DAS ABELIAS CAMPINAS SAO PAULO 13097173;RUA DAS ABELIAS AV ALPHAVILLE JARDIM MADALENA CAMPINAS SAO PAULO 13097173 BRAZIL;RUA DOM PEDRO I JARDIM BRASIL CAMPINAS SP 13073003 BRASIL;13097173;13097173;13073003;-22,85335334;-47,01539925;-22,85560505;-47,02138575;-22,88537;-47,06759
RUA ABIGAIL ARANTES LEITE BOSQUE DAS PALMEIRAS CAMPINAS SP 13086720 BRASIL;13086720;RUA ABIGAIL ARANTES LEITE CAMPINAS SAO PAULO 13086720;RUA ABIGAIL ARANTES LEITE CIDADE UNIVERSITARIA CAMPINAS SAO PAULO 13086720 BRAZIL;RUA ABIGAIL ARANTES LEITE BOSQUE DAS PALMEIRAS CAMPINAS SP 13086720 BRASIL;13086720;13086720;13086720;-22,78744499;-47,03942088;-22,78807855;-47,0399756;-22,78745;-47,03942
RUA ABIGAIL ZENI NADER ATE DIC VI CONJUNTO HABITACIONAL SANTO DIAS SILVA CAMPINAS SP 13054696 BRASIL;13054696;CONJUNTO HABITACIONAL SANTO DIAS CAMPINAS SAO PAULO 13054113;RUA ABIGAIL ZENI NADER RUA ALICE DIAS DA SILVA NUCLEO HABITACIONAL LECH WALESA CAMPINAS SAO PAULO 13054490 BRAZIL;RUA ABIGAIL ZENI NADER DIC VI CAMPINAS SP 13054696 BRASIL;13054113;13054490;13054696;-22,97520982;-47,12655957;-22,9770884;-47,127564;-22,97857;-47,12738
RUA ABIGAIL ZENI NADER DE AO FIM DIC V CONJUNTO HABITACIONAL CHICO MENDES CAMPINAS SP 13054500 BRASIL;13054500;RUA ABIGAIL ZENI NADER CAMPINAS SAO PAULO 13054500;RUA ABIGAIL ZENI NADER NUCLEO HABITACIONAL LECH WALESA CAMPINAS SAO PAULO 13054490 BRAZIL;RUA ABIGAIL ZENI NADER DIC V CAMPINAS SP 13054500 BRASIL;13054500;13054490;13054500;-22,98047755;-47,12410897;-22,9768419;-47,12757155;-22,98018;-47,12349
