input_addr;input_cep;output_addr_1;output_addr_2;output_addr_3;output_addr_cep_1;output_addr_cep_2;output_addr_cep_3;lat1;lon1;lat2;lon2;lat3;lon3
ALAMEDA DAS ACEROLAS LOTEAMENTO CHACARA PRADO CAMPINAS SP 13042093 BRASIL;13042093;ALAMEDA DAS ACEROLAS CAMPINAS SAO PAULO 13042093;R DAS ACEROLAS CAMPINAS PINDAMONHANGABA SAO PAULO 12415462 BRAZIL;ALAMEDA DAS ACEROLAS PARQUE PRADO CAMPINAS SP 13042093 BRASIL;13042093;12415462;13042093;-22,93666485;-47,05089369;-22,98570775;-45,4018331;-22,93655;-47,05095
ESTRADA ACESSO A VILA LUNARDI CAMPINAS SP 13067170 BRASIL;13067170;13067 CAMPINAS SAO PAULO;R OLINTHO LUNARDI VILA DO PRESIDIO CAMPINAS SAO PAULO 13067200 BRAZIL;VILA LUNARDI CAMPINAS SP BRASIL;NA;13067200;13067102;-22,88472515;-47,1419331;-22,8820181;-47,1495881;-22,88341;-47,15117
ESTRADA DE ACESSO XTAL POLO II DE ALTA TECNOLOGIA CAMPINAS SP 13086520 BRASIL;13086520;13086 CAMPINAS SAO PAULO;BRAZIL;IDEALIZEPRINT EM POLO II DE ALTA TECNOLOGIA RUA DOUTOR RICARDO BENETTON MARTINS 1000 CAMPINAS SP 13086510 BRASIL;NA;NA;13086510;-22,79293233;-47,0421735;-10,33333302;-53,20000076;-22,81688;-47,0448
RUA PROFESSOR ACHILLE BASSI CIDADE UNIVERSITARIA CAMPINAS SP 13083530 BRASIL;13083530;RUA PROFESSOR ACHILLE BASSI BARAO GERALDO CAMPINAS SAO PAULO 13083530;RUA PROFESSOR ACHILLE BASSI CIDADE UNIVERSITARIA CAMPINAS SAO PAULO 13083530 BRAZIL;RUA PROFESSOR ACHILLE BASSI CIDADE UNIVERSITARIA CAMPINAS SP 13083530 BRASIL;13083530;13083530;13083530;-22,80180503;-47,0750293;-22,80111285;-47,07495525;-22,80181;-47,07503
RUA ACHILLES BERTOLDI CIDADE SATELITE IRIS CAMPINAS SP 13059623 BRASIL;13059623;RUA ACHILLES BERTOLDI CAMPINAS SAO PAULO 13059623;RUA ACHILLES BERTOLDI CAMPO GRANDE CAMPINAS SAO PAULO 13058326 BRAZIL;RUA ACHILLES BERTOLDI CIDADE SATELITE IRIS CAMPINAS SP 13059623 BRASIL;13059623;13058326;13059623;-22,93562833;-47,16557241;-22,9367233;-47,16480315;-22,93583;-47,16415
RUA ACHILLES BRASIL JARDIM MAISA CAMPINAS SP 13046360 BRASIL;13046360;RUA ACHILES BRASIL CAMPINAS SAO PAULO 13046360;RUA ACHILLES BRASIL JARDIM ANTONIO VON ZUBEN CAMPINAS SAO PAULO 13046360 BRAZIL;RUA ACHILES BRASIL JARDIM ESMERALDINA CAMPINAS SP 13046360 BRASIL;13046360;13046360;13046360;-22,93567874;-47,01383265;-22,9356799;-47,0143614;-22,93568;-47,01384
RUA DOS ACOCES VILA COSTA E SILVA CAMPINAS SP 13081360 BRASIL;13081360;RUA DOS ACOCES BARAO GERALDO CAMPINAS SAO PAULO 13081360;RUA DOS ACOCES VILA COSTA E SILVA CAMPINAS SAO PAULO 13081360 BRAZIL;RUA DOS ACOCES VILA COSTA E SILVA CAMPINAS SP 13081360 BRASIL;13081360;13081360;13081360;-22,85500866;-47,06928532;-22,85497355;-47,0692692;-22,85501;-47,06929
RUA ACOR VILA PADRE MANOEL DE NOBREGA CAMPINAS SP 13061347 BRASIL;13061347;RUA ACOR CAMPINAS SAO PAULO 13061347;RUA FRANCISCO MENDES NUCLEO RESIDENCIAL JARDIM CAMPOS ELISIOS CAMPINAS SAO PAULO 13061144 BRAZIL;RUA ACOR VILA PADRE MANOEL DA NOBREGA CAMPINAS SP 13061347 BRASIL;13061347;13061144;13061347;-22,90820175;-47,11567283;-22,90574655;-47,11299456;-22,9082;-47,11567
RUA ACRISIO PACHECO JARDIM DO LAGO CAMPINAS SP 13050004 BRASIL;13050004;RUA ACRISIO PACHECO CAMPINAS SAO PAULO 13050004;RUA ACRISIO PACHECO NUCLEO RESIDENCIAL JARDIM NOVOS CAMPOS ELISIOS CAMPINAS SAO PAULO 13050004 BRAZIL;RUA ACRISIO PACHECO JARDIM DO LAGO CAMPINAS SP 13050004 BRASIL;13050004;13050004;13050004;-22,93090059;-47,08247611;-22,93090331;-47,08247837;-22,9309;-47,08248
RUA DO ACROBATA RESIDENCIAL PARQUE DAS ARAUCARIAS CAMPINAS SP 13105806 BRASIL;13105806;RUA DO ACROBATA CAMPINAS SAO PAULO 13105806;RUA DO ACROBATA SOUSAS CAMPINAS SAO PAULO 13105806 BRAZIL;RUA DO ACROBATA LOTEAMENTO PARQUE DAS HORTENCIAS CAMPINAS SP 13105806 BRASIL;13105806;13105806;13105806;-22,89663242;-46,99264919;-22,8968444;-46,9925348;-22,89658;-46,99273
RUA ACU LOTEAMENTO ALPHAVILLE CAMPINAS SP 13098335 BRASIL;13098335;RUA ACU CAMPINAS SAO PAULO 13098335;RUA ACU JARDIM MIRIAM CAMPINAS SAO PAULO 13098335 BRAZIL;RUA ACU ALPHAVILLE CAMPINAS CAMPINAS SP 13098335 BRASIL;13098335;13098335;13098335;-22,82001388;-47,0357834;-22,82000815;-47,0360113;-22,82002;-47,03572
RUA DO ACUCAR JARDIM CHAPADAO CAMPINAS SP 13070024 BRASIL;13070024;RUA DO ACUCAR CAMPINAS SAO PAULO 13070024;RUA DO ASSUCAR JARDIM CHAPADAO CAMPINAS SAO PAULO 13070024 BRAZIL;RUA DO ACUCAR JARDIM CHAPADAO CAMPINAS SP 13070024 BRASIL;13070024;13070024;13070024;-22,89695485;-47,08578071;-22,8976582;-47,08582945;-22,89695;-47,08578
RUA DAS ACUCENAS JARDIM DAS BANDEIRAS CAMPINAS SP 13050072 BRASIL;13050072;RUA DAS ACUCENAS CAMPINAS SAO PAULO 13050072;RUA DAS ACUCENAS JARDIM NOVO CAMPOS ELISEOS CAMPINAS SAO PAULO 13050072 BRAZIL;RUA DAS ACUCENAS JARDIM DAS BANDEIRAS CAMPINAS SP 13050072 BRASIL;13050072;13050072;13050072;-22,95069692;-47,09424225;-22,95112505;-47,0924788;-22,9507;-47,09424
RUA DA ACURANA RESIDENCIAL PARQUE DAS ARAUCARIAS CAMPINAS SP 13105815 BRASIL;13105815;RUA DA ACURANA CAMPINAS SAO PAULO 13105815;RUA DA ACURANA SOUSAS CAMPINAS SAO PAULO 13105815 BRAZIL;RUA DA ACURANA LOTEAMENTO PARQUE DAS HORTENCIAS CAMPINAS SP 13105815 BRASIL;13105815;13105815;13105815;-22,89657;-46,99240502;-22,89657185;-46,9923562;-22,89657;-46,9924
RUA ACURCIO FERREIRA PESSOA JARDIM MONTE CRISTOPARQUE OZIEL CAMPINAS SP 13049071 BRASIL;13049071;RUA ACURCIO FERREIRA PESSOA CAMPINAS SAO PAULO 13049071;RUA ACURCIO FERREIRA PESSOA NUCLEO RESIDENCIAL JARDIM NOVOS CAMPOS ELISIOS CAMPINAS SAO PAULO 13049071 BRAZIL;RUA ACURCIO FERREIRA PESSOA PARQUE OZIEL CAMPINAS SP 13049071 BRASIL;13049071;13049071;13049071;-22,9389238;-47,08330263;-22,93890315;-47,08327532;-22,93892;-47,0833
RUA ADA DE OLIVEIRA VILA PALMEIRAS II CAMPINAS SP 13053260 BRASIL;13053260;RUA ADA DE OLIVEIRA CAMPINAS SAO PAULO 13053260;RUA ADA DE OLIVEIRA JARDIM MARISA CAMPINAS SAO PAULO BRAZIL;RUA ADA DE OLIVEIRA VILA PALMEIRAS II CAMPINAS SP 13053260 BRASIL;13053260;NA;13053260;-23,02813573;-47,10007148;-23,0291648;-47,0994277;-23,02814;-47,10007
RUA ADA GUERNELLI MAIA LOTEAMENTO RESIDENCIAL NOVO MUNDO CAMPINAS SP 13058288 BRASIL;13058288;RUA ADA GUERNELLI MAIA CAMPINAS SAO PAULO 13058288;RUA ADA GUERNELLI MAIA CAMPO GRANDE CAMPINAS SAO PAULO 13058288 BRAZIL;RUA ADA GUERNELLI MAIA LOTEAMENTO RESIDENCIAL NOVO MUNDO CAMPINAS SP 13058288 BRASIL;13058288;13058288;13058288;-22,94786;-47,17393001;-22,94784024;-47,17390796;-22,94786;-47,17393
RUA ADA MARIA BERTON DALMEDICO MORADA DAS NASCENTES JOAQUIM EGIDIO CAMPINAS SP 13108297 BRASIL;13108297;13108 JOAQUIM EGIDIO CAMPINAS SAO PAULO;RUA ANA SANTINA PEREIRA PRACA DA SAUDE CAMPINAS SAO PAULO 13042832 BRAZIL;MORADA DAS NASCENTES CAMPINAS SP BRASIL;NA;13042832;NA;-22,92760205;-46,90206391;-22,97410175;-47,03791772;-22,87666;-46,92495
RUA ADA MATALLO PAVANI RESIDENCIAL LENK SWISS PARK CAMPINAS SP 13049436 BRASIL;13049436;RUA ADA MATALLO PAVANI CAMPINAS SAO PAULO 13051;RUA ADA MATALLO PAVANI SWISS PARK CAMPINAS SAO PAULO BRAZIL;RUA ADA MATALLO PAVANI SWISS PARK CAMPINAS SP BRASIL;NA;NA;NA;-22,97372779;-47,06990858;-22,97427905;-47,0713414;-22,97373;-47,06991
RUA ADA MATALLO PAVANI RESIDENCIAL VEVEY SWISS PARK CAMPINAS SP 13049465 BRASIL;13049465;RUA ADA MATALLO PAVANI CAMPINAS SAO PAULO 13051;RUA ADA MATALLO PAVANI SWISS PARK CAMPINAS SAO PAULO BRAZIL;RUA ADA MATALLO PAVANI SWISS PARK CAMPINAS SP BRASIL;NA;NA;NA;-22,97372779;-47,06990858;-22,97427905;-47,0713414;-22,97373;-47,06991
RUA ADALBERTO INACIO NOGUEIRA JARDIM SAO CRISTOVAO CAMPINAS SP 13056283 BRASIL;13056283;RUA ADALBERTO INACIO NOGUEIRA CAMPINAS SAO PAULO 13056283;RUA ADALBERTO INACIO NOGUEIRA JARDIM ESPLANADA CAMPINAS SAO PAULO 13056283 BRAZIL;RUA ADALBERTO INACIO NOGUEIRA JARDIM SAO CRISTOVAO CAMPINAS SP 13056283 BRASIL;13056283;13056283;13056283;-22,98606411;-47,14917906;-22,98653995;-47,14896775;-22,98605;-47,14918
RUA ADALBERTO MAIA TAQUARAL CAMPINAS SP 13076007 BRASIL;13076007;RUA ADALBERTO MAIA CAMPINAS SAO PAULO 13076007;RUA ADALBERTO MAIA TAQUARAL CAMPINAS SAO PAULO 13076007 BRAZIL;RUA ADALBERTO MAIA TAQUARAL CAMPINAS SP 13076007 BRASIL;13076007;13076007;13076007;-22,88314425;-47,05323319;-22,88336335;-47,05339135;-22,88314;-47,05323
RUA PROFESSOR ADALBERTO NASCIMENTO SAO BERNARDO CAMPINAS SP 13030730 BRASIL;13030730;RUA PROFESSOR ADALBERTO NASCIMENTO CAMPINAS SAO PAULO 13030730;13030730 BRAZIL;RUA PROFESSOR ADALBERTO NASCIMENTO SAO BERNARDO CAMPINAS SP 13030730 BRASIL;13030730;13030730;13030730;-22,92368589;-47,07625848;-22,92318344;-47,07555008;-22,92369;-47,07626
RUA ADALBERTO PANZAN TERMINAL INTERMODAL DE CARGAS TIC CAMPINAS SP 13069105 BRASIL;13069105;RUA ADALBERTO PANZAN MATAO SUMARE SAO PAULO 13069105;RUA ADALBERTO PANZAN AR3 MATAO SUMARE SAO PAULO 13069105 BRAZIL;TERMINAL INTERMODAL DE CARGAS RUA JOAO C DO AMARAL JARDIM CHAPADAO CAMPINAS SP 13070111 BRASIL;13069105;13069105;13070111;-22,84295;-47,15870499;-22,84279673;-47,15860838;-22,89011;-47,08691
RUA ADALBERTO PATROCINIO JARDIM SAO DOMINGOS CAMPINAS SP 13053314 BRASIL;13053314;RUA ADALBERTO PATROCINIO CAMPINAS SAO PAULO 13053314;RUA ALBERTO LANCASTRE JUNIOR AV JARDIM SAO DOMINGOS JARDIM MARISA CAMPINAS SAO PAULO 13053303 BRAZIL;RUA ADALBERTO PATROCINIO JARDIM SAO DOMINGOS CAMPINAS SP 13053314 BRASIL;13053314;13053303;13053314;-23,04257908;-47,1009307;-23,0331584;-47,1037747;-23,04258;-47,10093
RUA PROFESSOR ADALBERTO PRADO E SILVA CIDADE UNIVERSITARIA CAMPINAS SP 13083540 BRASIL;13083540;RUA PROFESSOR ADALBERTO PRADO E SILVA BARAO GERALDO CAMPINAS SAO PAULO 13083540;RUA ADALBERTO PRADO E SILVA CIDADE UNIVERSITARIA CAMPINAS SAO PAULO 13083540 BRAZIL;RUA PROFESSOR ADALBERTO PRADO E SILVA CIDADE UNIVERSITARIA CAMPINAS SP 13083540 BRASIL;13083540;13083540;13083540;-22,81331286;-47,07635309;-22,81303895;-47,0778668;-22,81331;-47,07635
RUA ADALGIZA NERY DE AO FIM JARDIM PROFILURB CAMPINAS SP 13056323 BRASIL;13056323;RUA ADALGIZA NERI CAMPINAS SAO PAULO 13056323;RUA ADALGIZA NERY OURO VERDE CAMPINAS SAO PAULO 13056323 BRAZIL;RUA ADALGIZA NERI JARDIM PROFILURB CAMPINAS SP 13056323 BRASIL;13056323;13056323;13056323;-22,97654001;-47,13379502;-22,97645435;-47,13326355;-22,97654;-47,13379
RUA ADALGIZA NERY ATE DIC I CONJUNTO HABITACIONAL MONSENHOR LUIZ FERNANDO ABREU CAMPINAS SP 13056391 BRASIL;13056391;13056 CAMPINAS SAO PAULO;13056391 BRAZIL;CONJUNTO HABITACIONAL SANTO DIAS DIC VI CAMPINAS SP 13054113 BRASIL;NA;13056391;13054113;-22,99269849;-47,137895;-22,97662926;-47,13407898;-22,97545;-47,12655
RUA ADAMANTINA VILA NOVA CAMPINAS SP 13073109 BRASIL;13073109;RUA ADAMANTINA CAMPINAS SAO PAULO 13073109;RUA ADAMANTINA VILA NOVA CAMPINAS SAO PAULO 13073069 BRAZIL;RUA ADAMANTINA VILA NOVA CAMPINAS SP 13073109 BRASIL;13073109;13073069;13073109;-22,87665657;-47,06966481;-22,87667265;-47,0697844;-22,87666;-47,06966
PRACA ADAMINA DEL SOLDATO SAAD CAMBUI CAMPINAS SP 13024515 BRASIL;13024515;13024 CAMPINAS SAO PAULO;BRAZIL;CAMBUI CAMPINAS SP BRASIL;NA;NA;13024430;-22,89234166;-47,05436597;-10,33333302;-53,20000076;-22,89173;-47,05257
RUA ADAMO ASTOLFI PARQUE CAMELIAS CAMPINAS SP 13052532 BRASIL;13052532;RUA ADAMO ASTOLFI CAMPINAS SAO PAULO 13052532;RUA ADAMO ASTOLFI JARDIM NOVA MERCEDES CAMPINAS SAO PAULO 13052532 BRAZIL;RUA ADAMO ASTOLFI CAMPINAS SP 13052532 BRASIL;13052532;13052532;13052532;-22,9823944;-47,09200263;-22,98321525;-47,09209725;-22,98241;-47,09201
AVENIDA ADAO FOCESI JARDIM DO LAGO CAMPINAS SP 13050000 BRASIL;13050000;JARDIM DO LAGO;AVENIDA ADAO FOCESI NUCLEO RESIDENCIAL JARDIM NOVOS CAMPOS ELISIOS CAMPINAS SAO PAULO 13050000 BRAZIL;AVENIDA ADAO FOCESI JARDIM DO LAGO CAMPINAS SP 13050000 BRASIL;NA;13050000;13050000;-22,9348;-47,08791;-22,9322837;-47,08343425;-22,93274;-47,0844
RUA ADAO GONCALVES ATE CONJUNTO HABITACIONAL PADRE ANCHIETA CAMPINAS SP 13068028 BRASIL;13068028;RUA ADAO GONCALVES NOVA APARECIDA CAMPINAS SAO PAULO 13068028;RUA ADAO GONCALVES VILA PADRE ANCHIETA CAMPINAS SAO PAULO 13068028 BRAZIL;RUA ADAO GONCALVES COHAB PADRE ANCHIETA CAMPINAS SP 13068028 BRASIL;13068028;13068028;13068028;-22,855465;-47,15565998;-22,85677819;-47,15686032;-22,85546;-47,15566
RUA ADAO GONCALVES DE AO FIM JARDIM APARECIDA CAMPINAS SP 13068628 BRASIL;13068628;RUA ADAO GONCALVES NOVA APARECIDA CAMPINAS SAO PAULO 13068628;RUA ADAO GONCALVES FERNANDES NOVA APARECIDA CAMPINAS SAO PAULO 13068 BRAZIL;RUA ADAO GONCALVES NOVA APARECIDA CAMPINAS SP 13068628 BRASIL;13068628;NA;13068628;-22,85686171;-47,15699644;-22,85981945;-47,1484871;-22,85689;-47,15705
RUA ADAO GONCALVES FERNANDES GLEBA SUBDIVISAO DE ADAO GONCALVES FERNANDES CAMPINAS SP 13068596 BRASIL;13068596;RUA ADAO GONCALVES FERNANDES NOVA APARECIDA CAMPINAS SAO PAULO 13068596;RUA ADAO GONCALVES FERNANDES NOVA APARECIDA CAMPINAS SAO PAULO 13068 BRAZIL;RUA ADAO GONCALVES FERNANDES NOVA APARECIDA CAMPINAS SP 13068596 BRASIL;13068596;NA;13068596;-22,85908107;-47,14798911;-22,85981945;-47,1484871;-22,85943;-47,14822
RUA MAESTRO ADAO GOZZI JARDIM OURO BRANCO CAMPINAS SP 13100506 BRASIL;13100506;RUA MAESTRO ADAO COZZI CAMPINAS SAO PAULO 13100506;13100506 BRAZIL;RUA MAESTRO ADAO COZZI JARDIM OURO BRANCO CAMPINAS SP 13100506 BRASIL;13100506;13100506;13100506;-22,92101797;-47,04008367;-22,92092896;-47,04014587;-22,92102;-47,04008
RUA ADAO HOFFMANN VILA INDUSTRIAL CAMPINAS SP 13035010 BRASIL;13035010;RUA ADAO HOFFMAN CAMPINAS SAO PAULO 13035010;RUA ADAO HOFFMANN CAMPINAS SAO PAULO 13035010 BRAZIL;RUA ADAO HOFFMAN VILA INDUSTRIAL CAMPINAS SP 13035010 BRASIL;13035010;13035010;13035010;-22,91106049;-47,07979824;-22,9127649;-47,0799748;-22,91112;-47,0798
RUA ADAO LUIZ CHIMINAZZO RESIDENCIAL BADEN SWISS PARK CAMPINAS SP 13049392 BRASIL;13049392;13049 CAMPINAS SAO PAULO;RUA LUIZ CHAVES SWISS PARK CAMPINAS SAO PAULO 13049485 BRAZIL;RUA MARIA CARMEN CHIMINAZZO SWISS PARK CAMPINAS SP 13049395 BRASIL;NA;13049485;13049395;-22,95861383;-47,096722;-22,9777867;-47,0750716;-22,96311;-47,07183
RUA ADAO RITA RESIDENCIAL PARQUE DA FAZENDA CAMPINAS SP 13060575 BRASIL;13060575;RUA ADAO RITA CAMPINAS SAO PAULO 13060575;RUA ADAO RITA NUCLEO RESIDENCIAL JARDIM CAMPOS ELISIOS CAMPINAS SAO PAULO 13060575 BRAZIL;RUA ADAO RITA JARDIM IPAUSSURAMA CAMPINAS SP 13060575 BRASIL;13060575;13060575;13060575;-22,93034334;-47,1198289;-22,93059195;-47,11842125;-22,93063;-47,11857
RUA ADAO RODRIGUES FILHO CONJUNTO RESIDENCIAL PARQUE SAO BENTO CAMPINAS SP 13058214 BRASIL;13058214;RUA ADAO RODRIGUES FILHO CAMPINAS SAO PAULO 13058214;RUA 44 CAMPO GRANDE CAMPINAS SAO PAULO 13053 BRAZIL;RUA ADAO RODRIGUES FILHO PARQUE SAO BENTO CAMPINAS SP 13058214 BRASIL;13058214;NA;13058214;-22,9672;-47,19965503;-22,96725002;-47,19966454;-22,9672;-47,19965
RUA ADAO SOARES DA SILVA JARDIM MONTE CRISTOPARQUE OZIEL CAMPINAS SP 13049127 BRASIL;13049127;RUA ADAO SOARES DA SILVA CAMPINAS SAO PAULO 13049127;ESTRADA WALDI ABDALLA GNATUS CAMPINAS SAO PAULO 13049010 BRAZIL;RUA ADAO SOARES DA SILVA MONTE CRISTO CAMPINAS SP 13049127 BRASIL;13049127;13049010;13049127;-22,93696765;-47,07771654;-22,9360774;-47,07829784;-22,93697;-47,07772
RUA ADAUTO RIBEIRO DE MELO LOTEAMENTO COUNTRY VILLE CAMPINAS SP 13050182 BRASIL;13050182;RUA ADAUTO RIBEIRO DE MELO CAMPINAS SAO PAULO 13050182;RUA ADAUTO RIBEIRO DE MELO JARDIM NOVO CAMPOS ELISEOS CAMPINAS SAO PAULO 13050182 BRAZIL;RUA ADAUTO RIBEIRO DE MELO LOTEAMENTO COUNTRY VILLE CAMPINAS SP 13050182 BRASIL;13050182;13050182;13050182;-22,9476238;-47,09501245;-22,94762491;-47,09499012;-22,94762;-47,09501
VIELA ADELAIDE CICERO VIDOTTI JARDIM SANTO ANTONIO CAMPINAS SP 13054809 BRASIL;13054809;13054 CAMPINAS SAO PAULO;CAMPINAS BRAZIL;NA;NA;NA;NA;-23,02533558;-47,079515;-22,90563965;-47,05956268;NA;NA
RUA ADELAIDE DANIEL DE ALMEIDA LOTEAMENTO CENTER SANTA GENEBRA CAMPINAS SP 13080661 BRASIL;13080661;RUA ADELAIDE DANIEL DE ALMEIDA CAMPINAS SAO PAULO 13080661;RUA ADELAIDE DANIEL DE ALMIEDA JARDIM SANTA GENEBRA CAMPINAS SAO PAULO 13080661 BRAZIL;RUA ADELAIDE DANIEL DE ALMEIDA CAMPINAS SP 13080661 BRASIL;13080661;13080661;13080661;-22,84924999;-47,08606009;-22,84922582;-47,08567781;-22,84925;-47,08609
RUA ADELAIDE DOS SANTOS BARREIRA JARDIM CHAPADAO CAMPINAS SP 13070007 BRASIL;13070007;RUA ADELAIDE DOS SANTOS BARREIRA CAMPINAS SAO PAULO 13070007;RUA ADELAIDE DOS SANTOS BARREIRA JARDIM CHAPADAO CAMPINAS SAO PAULO 13070007 BRAZIL;RUA ADELAIDE DOS SANTOS BARREIRA JARDIM CHAPADAO CAMPINAS SP 13070007 BRASIL;13070007;13070007;13070007;-22,89256869;-47,09429823;-22,89213451;-47,09459513;-22,89258;-47,09429
RUA SANTA ADELIA JARDIM BRASIL CAMPINAS SP 13073019 BRASIL;13073019;RUA SANTA ADELIA CAMPINAS SAO PAULO 13073019;RUA SANTA ADELIA GUANABARA CAMPINAS SAO PAULO 13073019 BRAZIL;RUA SANTA ADELIA JARDIM BRASIL CAMPINAS SP 13073019 BRASIL;13073019;13073019;13073019;-22,88546001;-47,06505;-22,8857265;-47,0652869;-22,88546;-47,06505
RUA ADELIA ABIB CONJUNTO RESIDENCIAL PARQUE SAO BENTO CAMPINAS SP 13058153 BRASIL;13058153;RUA ADELIA ABIB CAMPINAS SAO PAULO 13058153;RUA ADELIA ABIB CAMPO GRANDE CAMPINAS SAO PAULO 13058153 BRAZIL;RUA ADELIA ABIB PARQUE SAO BENTO CAMPINAS SP 13058153 BRASIL;13058153;13058153;13058153;-22,96534999;-47,20012501;-22,96503485;-47,2002273;-22,96535;-47,20012
